band,setting_freq,setting_gain,setting_q,freq_hz,db
hpf,0,0,0,10.00,-0.6467
hpf,0,0,0,10.35,-0.6062
hpf,0,0,0,10.72,-0.5681
hpf,0,0,0,11.10,-0.5323
hpf,0,0,0,11.49,-0.4985
hpf,0,0,0,11.89,-0.4668
hpf,0,0,0,12.31,-0.4371
hpf,0,0,0,12.75,-0.4091
hpf,0,0,0,13.20,-0.3828
hpf,0,0,0,13.67,-0.3582
hpf,0,0,0,14.15,-0.3351
hpf,0,0,0,14.65,-0.3134
hpf,0,0,0,15.17,-0.2931
hpf,0,0,0,15.70,-0.2740
hpf,0,0,0,16.26,-0.2562
hpf,0,0,0,16.83,-0.2395
hpf,0,0,0,17.42,-0.2238
hpf,0,0,0,18.04,-0.2092
hpf,0,0,0,18.68,-0.1955
hpf,0,0,0,19.34,-0.1826
hpf,0,0,0,20.02,-0.1706
hpf,0,0,0,20.73,-0.1594
hpf,0,0,0,21.46,-0.1489
hpf,0,0,0,22.21,-0.1391
hpf,0,0,0,23.00,-0.1299
hpf,0,0,0,23.81,-0.1213
hpf,0,0,0,24.65,-0.1133
hpf,0,0,0,25.52,-0.1058
hpf,0,0,0,26.42,-0.0987
hpf,0,0,0,27.36,-0.0922
hpf,0,0,0,28.32,-0.0861
hpf,0,0,0,29.32,-0.0804
hpf,0,0,0,30.36,-0.0750
hpf,0,0,0,31.43,-0.0700
hpf,0,0,0,32.54,-0.0654
hpf,0,0,0,33.69,-0.0610
hpf,0,0,0,34.88,-0.0569
hpf,0,0,0,36.11,-0.0531
hpf,0,0,0,37.39,-0.0496
hpf,0,0,0,38.71,-0.0463
hpf,0,0,0,40.07,-0.0432
hpf,0,0,0,41.49,-0.0403
hpf,0,0,0,42.95,-0.0376
hpf,0,0,0,44.47,-0.0351
hpf,0,0,0,46.04,-0.0328
hpf,0,0,0,47.67,-0.0306
hpf,0,0,0,49.35,-0.0285
hpf,0,0,0,51.09,-0.0266
hpf,0,0,0,52.90,-0.0249
hpf,0,0,0,54.76,-0.0232
hpf,0,0,0,56.70,-0.0216
hpf,0,0,0,58.70,-0.0202
hpf,0,0,0,60.77,-0.0188
hpf,0,0,0,62.92,-0.0176
hpf,0,0,0,65.14,-0.0164
hpf,0,0,0,67.44,-0.0153
hpf,0,0,0,69.82,-0.0143
hpf,0,0,0,72.29,-0.0133
hpf,0,0,0,74.84,-0.0124
hpf,0,0,0,77.48,-0.0116
hpf,0,0,0,80.22,-0.0108
hpf,0,0,0,83.05,-0.0101
hpf,0,0,0,85.99,-0.0094
hpf,0,0,0,89.02,-0.0088
hpf,0,0,0,92.17,-0.0082
hpf,0,0,0,95.42,-0.0077
hpf,0,0,0,98.79,-0.0071
hpf,0,0,0,102.28,-0.0067
hpf,0,0,0,105.89,-0.0062
hpf,0,0,0,109.63,-0.0058
hpf,0,0,0,113.50,-0.0054
hpf,0,0,0,117.51,-0.0050
hpf,0,0,0,121.66,-0.0047
hpf,0,0,0,125.95,-0.0044
hpf,0,0,0,130.40,-0.0041
hpf,0,0,0,135.01,-0.0038
hpf,0,0,0,139.77,-0.0036
hpf,0,0,0,144.71,-0.0033
hpf,0,0,0,149.82,-0.0031
hpf,0,0,0,155.11,-0.0029
hpf,0,0,0,160.59,-0.0027
hpf,0,0,0,166.26,-0.0025
hpf,0,0,0,172.13,-0.0024
