drive,thd_pct,h2_pct,h3_pct,h4_pct,h5_pct
0.0,33.0232,0.9939,29.3891,0.5786,15.0066
0.5,33.8629,0.9739,29.9406,0.5573,15.7716
1.0,34.5337,0.9651,30.3763,0.5395,16.3829
1.5,35.0792,0.9621,30.7278,0.5270,16.8800
2.0,35.5297,0.9611,31.0162,0.5195,17.2905
2.5,35.9066,0.9603,31.2561,0.5157,17.6338
3.0,36.2251,0.9587,31.4580,0.5142,17.9242
3.5,36.4967,0.9560,31.6293,0.5137,18.1720
4.0,36.7298,0.9523,31.7758,0.5135,18.3851
4.5,36.9311,0.9479,31.9018,0.5130,18.5696
5.0,37.1057,0.9430,32.0106,0.5121,18.7301
5.5,37.2579,0.9378,32.1051,0.5105,18.8704
6.0,37.3911,0.9325,32.1874,0.5084,18.9935
6.5,37.5078,0.9273,32.2592,0.5058,19.1019
7.0,37.6105,0.9223,32.3222,0.5028,19.1976
7.5,37.7011,0.9175,32.3774,0.4995,19.2824
8.0,37.7811,0.9130,32.4260,0.4961,19.3576
8.5,37.8519,0.9089,32.4689,0.4926,19.4245
9.0,37.9146,0.9051,32.5067,0.4890,19.4840
9.5,37.9704,0.9016,32.5401,0.4855,19.5371
10.0,38.0200,0.8985,32.5698,0.4821,19.5846
